BUSCA;Resultado Esperado;RSLP;ACRSLP;FPRSLP;FNRSLP;F1RSLP;SNOW;ACSNOW;FPSNOW;FNSNOW;F1SNOW;CHAVESOUNDEX;ACCHAVESOUNDEX;FPCHAVESOUNDEX;FNCHAVESOUNDEX;F1CHAVESOUNDEX;BUSCABR_SEM_VOGAL;ACBUSCABRSV;FPBUSCABRSV;FNBUSCABRSV;F1BUSCABRSV;BUSCABR;ACBUSCABR;FPBUSCABR;FNBUSCABR;F1BUSCABR;METAPHONEBR;ACMETAPHONEBR;FPMETAPHONEBR;FNMETAPHONEBR;F1METAPHONEBR;ROBERTO;ACROBERTO;FPROBERTO;FNROBERTO;F1ROBERTO;BAGGING;ACBAGG;FPBAGG;FNBAGG;F1BAGG
ADILSON;ADELSON, ADEYLSON, ADILSON,ADIRSON;[ADILSON];0;1;4;0.0;[ADILSON];0;1;4;0.0;[ADELJAMI, ADELSON, ADEYLSON, ADILSON];1;3;3;0.25;[ADELCIO, ADELSON, ADEYLSON, ADILSO, ADILSON, ADOLECIA, ADORIZIO, DARLISON, DEILZA, DELCIO, DELSON, DELZA, DELZO, DIELLYSON, DILSA, DILSON, DILZA, DOLESAR, EDILEUSA, EDILSON, IDALIZAR, IDELSON, UDILSON];1;22;3;0.0740740740741;[ADILSO, ADILSON];0;2;4;0.0;[ADELSON, ADEYLSON, ADILSON];1;2;3;0.285714285714;[ADELSON, ADEYLSON, ADILSON, EDILSON, IDELSON, UDILSON];1;5;3;0.2;[ADEYLSON, ADILSON, ADELSON];1;2;3;0.285714285714
ADIR;ADEIR, ADIR, ADYR;[ADIR];0;1;3;0.0;[ADIR];0;1;3;0.0;[ADAHIR, ADAIR, ADAURI, ADEIR, ADIR, ADYR];1;5;2;0.222222222222;[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA];1;44;2;0.0416666666667;[ADIR, ADYR];0;2;3;0.0;[ADAHIR, ADAIR, ADEIR, ADIR, ADYR];1;4;2;0.25;[ADEIR, ADIR, ADYR];1;2;2;0.333333333333;[ADYR, ADIR, ADEIR];1;2;2;0.333333333333
ADMILSON;ADEMILSON, ADENILSON, ADMILSON, ADNILSON;[ADMILSON];0;1;4;0.0;[ADMILSON];0;1;4;0.0;[ADEMILSON, ADENILSON, ADMILSON, ADNILSON];1;3;3;0.25;[ADEMILSON, ADENILSON, ADMILSON, ADNILSON, DANILZA, DENILSON, DENILZA, EDIMILSON, EDMILSON];1;8;3;0.153846153846;[ADMILSON, ADNILSON];0;2;4;0.0;[ADEMILSON, ADMILSON];1;1;3;0.333333333333;[ADEMILSON, ADMILSON, EDIMILSON, EDMILSON];1;3;3;0.25;[ADEMILSON, ADMILSON];1;1;3;0.333333333333
AFONSO;AFONSO,AFFONSO;[AFONSO];1;0;1;0.666666666667;[AFONSO];1;0;1;0.666666666667;[AFFONSO, AFONSO];2;0;0;1.0;[AFFONSO, AFONSO];2;0;0;1.0;[AFFONSO, AFONSO];2;0;0;1.0;[AFONSO];1;0;1;0.666666666667;[AFFONSO, AFONSO];2;0;0;1.0;[AFONSO, AFFONSO];2;0;0;1.0
AGDA;AGDA,AGUIDA;[AGDA];1;0;1;0.666666666667;[AGDA];1;0;1;0.666666666667;[AGDA, AGUIDA, AUGUSTA, AUGUSTO];2;2;0;0.666666666667;[AGDA, AGUIDA, GLEYDE, GLYDES, GUIDO, IGLEIDE];2;4;0;0.5;[AGDA];1;0;1;0.666666666667;[AGDA, AGUIDA];2;0;0;1.0;[AGDA];1;0;1;0.666666666667;[AGDA];1;0;1;0.666666666667
AGILSON;AGELSON, AGILSON;[AGILSON];0;1;2;0.0;[AGILSON];0;1;2;0.0;[AGELSON, AGILSON];1;1;1;0.5;[AGELSON, AGILSON, GEILSON, GELSON, GELZA, GILSO, GILSON, JAILZA, JERUSA, JOELSON, JURUCEI];1;10;1;0.153846153846;[AGELSON, AGILSON];1;1;1;0.5;[AGELSON, AGILSON];1;1;1;0.5;[AGELSON, AGILSON, GEILSON];1;2;1;0.4;[AGILSON, AGELSON];1;1;1;0.5
AGLICIO;AGLICIO, AGRICIO;[AGLICIO];1;0;1;0.666666666667;[AGLICIO];1;0;1;0.666666666667;[ACHILLES, AGLICIO];1;1;1;0.5;[AGLICIO, AGRICIO, GLAUCIA, GLAUCIO, GLEISON, GLEISSON, GREISON];1;6;1;0.222222222222;[AGLICIO, AGRICIO];1;1;1;0.5;[AGLICIO];1;0;1;0.666666666667;[AGLICIO];1;0;1;0.666666666667;[AGLICIO];1;0;1;0.666666666667
AGNALDO;AGNALDO, AGUINALDO;[AGNALDO];1;0;1;0.666666666667;[AGNALDO];1;0;1;0.666666666667;[AGNALDO, AGUINALDO];1;1;1;0.5;[AGNALDO, AMARILDO, ANAILDE, ANAILDO, ENILDA, ENILDO, ENYLDO, MAHILDO, MALDA, MARILDA, MARILDE, MARILEIDE, MIRDA, NAILDE, NILDA, NILDE, ONILDO];1;16;1;0.105263157895;[AGNALDO];1;0;1;0.666666666667;[AGNALDO, AGUINALDO];1;1;1;0.5;[AGNALDO];1;0;1;0.666666666667;[AGNALDO];1;0;1;0.666666666667
AILSON;AELSON, AILSON;[AILSON];0;1;2;0.0;[AILSON];0;1;2;0.0;[AELSON, AILISON, AILSON, ALCINA, ALCINEO, ALCINO, ALCIONEU, ALEXINA, ALISSON, ALLISON, ALQUENANO];1;10;1;0.153846153846;[AELSON, AILISON, AILSON, AILZA, ALCEU, ALCIO, ALCIR, ALECIO, ALEIXO, ALICIO, ALISSON, ALLISON, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, ARILSON, ARILZA, ARIZIO, AURIZE, AYLSA, ELAISE, ELCIAS, ELCIO, ELEACIR, ELEAZAR, ELEUZA, ELIEZER, ELISA, ELISEU, ELISIO, ELISSON, ELIZA, ELIZEU, ELIZIO, ELOISA, ELOISIO, ELOIZIA, ELOIZIO, ELSA, ELSIR, ELSON, ELUIZA, ELYSIO, ELZA, ELZI, ELZIO, ELZO, ELZU, ELZY, ERASIO, ERICSSON, HELCIO, HELOISA, HELOIZA, HELSON, HORACIO, ILSA, ILSON, ILZA, LAERCIO, LAERSON, LECIO, LEISE, LESIA, LEUSA, LEZIO, LIELSON, LILIOSA, LUCIA, LUCIO, LUISA, LUIZA, LUSIA, LUZIA, OILSON, RAISSA, REILSON, RILZA, ROSA, ROZA, UILSON, UILZA, ULYSSES];1;84;1;0.0229885057471;[AILSON];0;1;2;0.0;[AELSON, AILSON, ALISSON];1;2;1;0.4;[AELSON, AILISON, AILSON];1;2;1;0.4;[AILSON, AELSON];1;1;1;0.5
AILTON;AILTON,AHILTON,AIRTON,AYLTON,AYRTON,HAILTON,AELTON,AILTHON;[AILTON];1;0;7;0.222222222222;[AILTON];1;0;7;0.222222222222;[AELTON, AHILTON, AILTHON, AILTON, ALADIM, ALDINEA, ALEILTON, ALILTON, ALTEMIO, ALTHEMIO, ALTINO, AYLTON];5;7;3;0.5;[AELTON, AERTON, AHILTON, AILTHON, AILTON, AIRTON, ALTAIR, ALTAYR, ARTHUR, ARTUR, ASTOR, ASTREIA, ATHOS, AUTA, AYLTON, AYRTON, ELTON, ERTON, ESTER, ESTHER, HAILTON, HEITOR, HELTON, HILTON, HUET, HYLTON, ILTOM, ILTON, ITO, OTTO, TAEL, THAIS, TITO, UOSTON];8;26;0;0.380952380952;[AHILTON, AILTHON, AILTON, AIRTON, AYLTON, AYRTON, HAILTON];7;0;1;0.933333333333;[AELTON, AHILTON, AILTHON, AILTON, ALTEMIO, ALTHEMIO, AYLTON];5;2;3;0.666666666667;[AELTON, AILTON, AYLTON];3;0;5;0.545454545455;[AILTHON, AHILTON, AELTON, AILTON, AYLTON];5;0;3;0.769230769231
ALAIR;ALAIR, ALAYR;[ALAIDO, ALAIR, ALAOR];1;2;1;0.4;[ALAIDO, ALAIR];1;1;1;0.5;[ALAIR, ALAOR, ALAYR, ALIRIO, ALOIR];1;4;1;0.285714285714;[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...];1;114;1;0.017094017094;[ALAIR, ALAYR];1;1;1;0.5;[ALAIR, ALAOR, ALAYR, ALOIR];1;3;1;0.333333333333;[ALAIR, ALAYR];1;1;1;0.5;[ALAIR, ALAYR];1;1;1;0.5
ALAN;ALAN,ALLAN;[ALAN];1;0;1;0.666666666667;[ALAN];1;0;1;0.666666666667;[AILMA, ALAN, ALINE, ALLAN];2;2;0;0.666666666667;[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...];2;113;0;0.034188034188;[ALAN, ALLAN, ARACY];2;1;0;0.8;[AILMA, ALAN];1;1;1;0.5;[ALAN, ALINE, ALLAN];2;1;0;0.8;[ALLAN, ALAN];2;0;0;1.0
ALAYR;ALAIR,ALAYR, ALOIR;[ALAYR];1;0;2;0.5;[ALAYR];1;0;2;0.5;[ALAIR, ALAOR, ALAYR, ALIRIO, ALOIR];2;3;1;0.5;[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...];2;113;1;0.0338983050847;[ALAIR, ALAYR];2;0;1;0.8;[ALAIR, ALAOR, ALAYR, ALOIR];2;2;1;0.571428571429;[ALAIR, ALAYR];2;0;1;0.8;[ALAIR, ALAYR];2;0;1;0.8
ALBENIR;ALBENIR,ALBENY;[ALBENIR];1;0;1;0.666666666667;[ALBENIR];1;0;1;0.666666666667;[ALBENIR, ALVANIR, ALVIMAR];1;2;1;0.4;[ALBENIR, ALBENY, ALBINA, ALBINO, LIOBANO, ROBENS, RUBENS];2;5;0;0.444444444444;[ALBENIR, ALBENY];2;0;0;1.0;[ALBENIR];1;0;1;0.666666666667;[ALBENIR];1;0;1;0.666666666667;[ALBENIR];1;0;1;0.666666666667
ALCIDES;ALCEDES, ALCESTES, ALCIDES;[ALCIDES];0;1;3;0.0;[ALCIDEA, ALCIDES];0;2;3;0.0;[ALCEDES, ALCESTES, ALCIDES];1;2;2;0.333333333333;[ALCEDES, ALCIDEA, ALCIDES];1;2;2;0.333333333333;[ALCEDES, ALCIDES];1;1;2;0.4;[ALCEDES, ALCIDES];1;1;2;0.4;[ALCEDES, ALCIDES];1;1;2;0.4;[ALCIDES, ALCEDES];1;1;2;0.4
ALCINO; ALCINEO, ALCINO;[ALCINA, ALCINO];0;2;2;0.0;[ALCINA, ALCINEO, ALCINO];0;3;2;0.0;[AELSON, AILISON, AILSON, ALCINA, ALCINEO, ALCINO, ALCIONEU, ALEXINA, ALISSON, ALLISON, ALQUENANO];0;11;2;0.0;[ALCIMAR, ALCINA, ALCINEO, ALCINO, ALCIONEU, ALEXINA, ALEXSANDER, ALZENIR, ELCIONIR, ELZIMAR, ERASMO, ERICINA, ILERMINES, ILZENI, IRACEMA, LICINIO, LUCIANO, LUCIENE, LUCIMAR, LUCINDA, LUCINEA, LUZEMIR, LUZIENE, LUZIMAR, ORACINIO, OREZINA, RACINE, ROSAINE, ROSANA, ROSANE, ROSANI, ROSEANA, ROSIMOND, ROZINA];0;34;2;0.0;[ALCINO];0;1;2;0.0;[ALCINA, ALCINEO, ALCINO];0;3;2;0.0;[ALCINA, ALCINO];0;2;2;0.0;[ALCINA, ALCINO];0;2;2;0.0
ALCIR;ALCI, ALCY,ALCIR;[ALCESTES, ALCEU, ALCI, ALCIR, ALCIRA];2;3;1;0.5;[ALCIR, ALCIRA];1;1;2;0.4;[ALCIR, ALCIRA, ALCIRIO, ALZIRA, ALZIRO];1;4;2;0.25;[AELSON, AILISON, AILSON, AILZA, ALCEU, ALCIO, ALCIR, ALECIO, ALEIXO, ALICIO, ALISSON, ALLISON, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, ARILSON, ARILZA, ARIZIO, AURIZE, AYLSA, ELAISE, ELCIAS, ELCIO, ELEACIR, ELEAZAR, ELEUZA, ELIEZER, ELISA, ELISEU, ELISIO, ELISSON, ELIZA, ELIZEU, ELIZIO, ELOISA, ELOISIO, ELOIZIA, ELOIZIO, ELSA, ELSIR, ELSON, ELUIZA, ELYSIO, ELZA, ELZI, ELZIO, ELZO, ELZU, ELZY, ERASIO, ERICSSON, HELCIO, HELOISA, HELOIZA, HELSON, HORACIO, ILSA, ILSON, ILZA, LAERCIO, LAERSON, LECIO, LEISE, LESIA, LEUSA, LEZIO, LIELSON, LILIOSA, LUCIA, LUCIO, LUISA, LUIZA, LUSIA, LUZIA, OILSON, RAISSA, REILSON, RILZA, ROSA, ROZA, UILSON, UILZA, ULYSSES];1;84;2;0.0227272727273;[ALCIR];1;0;2;0.5;[ALCIR];1;0;2;0.5;[ALCIR];1;0;2;0.5;[ALCIR];1;0;2;0.5
ALDECI;ALDECI,ALDECIR;[ALDECI, ALDECIR];2;0;0;1.0;[ALDECI, ALDECIR];2;0;0;1.0;[ALAIDES, ALDECI, ALDICEU];1;2;1;0.4;[AILDO, ALADIM, ALADIO, ALAIDE, ALAIDES, ALAIDO, ALDA, ALDAIR, ALDECI, ALDIR, ALDO, ALEIDE, ARIDES, ARILDES, ARILDO, AROLDO, ELADIO, ELADIR, ELDA, ELDER, ELIDA, ELIDIO, ELIDO, ELILDE, ELOIDES, ERALDO, ERILDO, EURIDES, EURYDICE, HAROLDO, HELDER, HELIDA, HERALDO, HERILDO, HILDA, HILDO, HILDON, ILDA, ILDEU, ILIDIA, LAIDE, LAURIDES, LEDA, LEDIR, LEIDA, LIDIA, LIDIO, LOURDES, LUIDE, ORALDO, ORIDES, ORILDO, RILDO, RIORDAM, ROLDAO];1;54;1;0.0350877192982;[ALDECI];1;0;1;0.666666666667;[ALAIDES, ALDECI];1;1;1;0.5;[ALDECI];1;0;1;0.666666666667;[ALDECI];1;0;1;0.666666666667
ALDEMAR;ALDEMAR,ALDHEMAR;[ALDEMAR, ALDEMIR];1;1;1;0.5;[ALDEMAR, ALDEMIR];1;1;1;0.5;[ALDEMAR, ALDEMIR, ALDEMIRO, ALDHEMAR, ALDOMARIO, ALTAMIR, ALTAMIRO];2;5;0;0.444444444444;[ALDEMAR, ALDEMIR, ALDHEMAR, ALDINEA, ARIADNE, ELIDIMAR, ERDNEI, LAUDINO, LIDIANE, RODINI, RODNEY];2;9;0;0.307692307692;[ALDEMAR, ALDHEMAR];2;0;0;1.0;[ALDEMAR, ALDEMIR, ALDHEMAR];2;1;0;0.8;[ALDEMAR, ELIDIMAR];1;1;1;0.5;[ALDHEMAR, ALDEMAR];2;0;0;1.0
ALESSANDRA;ALESSANDRA,ALEXANDRA;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDER, ALEXSANDRO];2;4;0;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDRO, ALZENIRA, ROSEMARI, ROSEMARIE, ROSEMARY, ROSEMERI, ROSEMIRE, ROSENILIA, ROSIMARY, ROZAMARIA, ROZIMERE];2;13;0;0.235294117647;[ALESSANDRA, ALEXANDRA];2;0;0;1.0;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA];1;0;1;0.666666666667;[ALESSANDRA];1;0;1;0.666666666667
ALESSANDRO;ALESSANDRO,ALEXSANDRO;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDER, ALEXSANDRO];2;4;0;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDRO, ALZENIRA, ROSEMARI, ROSEMARIE, ROSEMARY, ROSEMERI, ROSEMIRE, ROSENILIA, ROSIMARY, ROZAMARIA, ROZIMERE];2;13;0;0.235294117647;[ALESSANDRO, ALEXSANDRO];2;0;0;1.0;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRO];1;0;1;0.666666666667;[ALESSANDRO];1;0;1;0.666666666667
