BUSCA;Resultado Esperado;RSLP;ACRSLP;FPRSLP;FNRSLP;F1RSLP;SNOW;ACSNOW;FPSNOW;FNSNOW;F1SNOW;CHAVESOUNDEX;ACCHAVESOUNDEX;FPCHAVESOUNDEX;FNCHAVESOUNDEX;F1CHAVESOUNDEX;BUSCABR_SEM_VOGAL;ACBUSCABRSV;FPBUSCABRSV;FNBUSCABRSV;F1BUSCABRSV;BUSCABR;ACBUSCABR;FPBUSCABR;FNBUSCABR;F1BUSCABR;METAPHONEBR;ACMETAPHONEBR;FPMETAPHONEBR;FNMETAPHONEBR;F1METAPHONEBR;ROBERTO;ACROBERTO;FPROBERTO;FNROBERTO;F1ROBERTO
ALISSON;ALISSON,ALLISON;[ALISSON];1;0;1;0.666666666667;[ALISSON];1;0;1;0.666666666667;[AELSON, AILISON, AILSON, ALCINA, ALCINEO, ALCINO, ALCIONEU, ALEXINA, ALISSON, ALLISON, ALQUENANO];2;9;0;0.307692307692;[AELSON, AILISON, AILSON, AILZA, ALCEU, ALCIO, ALCIR, ALECIO, ALEIXO, ALICIO, ALISSON, ALLISON, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, ARILSON, ARILZA, ARIZIO, AURIZE, AYLSA, ELAISE, ELCIAS, ELCIO, ELEACIR, ELEAZAR, ELEUZA, ELIEZER, ELISA, ELISEU, ELISIO, ELISSON, ELIZA, ELIZEU, ELIZIO, ELOISA, ELOISIO, ELOIZIA, ELOIZIO, ELSA, ELSIR, ELSON, ELUIZA, ELYSIO, ELZA, ELZI, ELZIO, ELZO, ELZU, ELZY, ERASIO, ERICSSON, HELCIO, HELOISA, HELOIZA, HELSON, HORACIO, ILSA, ILSON, ILZA, LAERCIO, LAERSON, LECIO, LEISE, LESIA, LEUSA, LEZIO, LIELSON, LILIOSA, LUCIA, LUCIO, LUISA, LUIZA, LUSIA, LUZIA, OILSON, RAISSA, REILSON, RILZA, ROSA, ROZA, UILSON, UILZA, ULYSSES];2;83;0;0.0459770114943;[ALICIO, ALISSON, ALLISON];2;1;0;0.8;[AELSON, AILSON, ALISSON];1;2;1;0.4;[ALISSON, ALLISON];2;0;0;1.0
ALOISIO;ALOISIO,ALOYSIO,ALUISIO,ALUIZIO,ALUIZO;[ALOISIO];1;0;4;0.333333333333;[ALOISIO];1;0;4;0.333333333333;[AILZA, ALCEU, ALCI, ALCIO, ALCY, ALECIO, ALEIXO, ALEX, ALICE, ALICIO, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, AYLSA];5;11;0;0.47619047619;[AELSON, AILISON, AILSON, AILZA, ALCEU, ALCIO, ALCIR, ALECIO, ALEIXO, ALICIO, ALISSON, ALLISON, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, ARILSON, ARILZA, ARIZIO, AURIZE, AYLSA, ELAISE, ELCIAS, ELCIO, ELEACIR, ELEAZAR, ELEUZA, ELIEZER, ELISA, ELISEU, ELISIO, ELISSON, ELIZA, ELIZEU, ELIZIO, ELOISA, ELOISIO, ELOIZIA, ELOIZIO, ELSA, ELSIR, ELSON, ELUIZA, ELYSIO, ELZA, ELZI, ELZIO, ELZO, ELZU, ELZY, ERASIO, ERICSSON, HELCIO, HELOISA, HELOIZA, HELSON, HORACIO, ILSA, ILSON, ILZA, LAERCIO, LAERSON, LECIO, LEISE, LESIA, LEUSA, LEZIO, LIELSON, LILIOSA, LUCIA, LUCIO, LUISA, LUIZA, LUSIA, LUZIA, OILSON, RAISSA, REILSON, RILZA, ROSA, ROZA, UILSON, UILZA, ULYSSES];5;80;0;0.111111111111;[ALOISIO, ALOYSIO];2;0;3;0.571428571429;[AILZA, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO];5;1;0;0.909090909091;[ALOISIO, ALOYSIO, ELOISIO, ELOIZIO];2;2;3;0.444444444444
ALONSO;ALONSO,ALONCIO,ALLONSO;[ALONSO];1;0;2;0.5;[ALONSO];1;0;2;0.5;[ALLONSO, ALONCIO, ALONSO];3;0;0;1.0;[ALLONSO, ALONCIO, ALONSO, HELENISE, LAURENICIA, LEONCIO, LINDANUZA, LOURENÇO];3;5;0;0.545454545455;[ALLONSO, ALONCIO, ALONSO];3;0;0;1.0;[ALONCIO, ALONSO];2;0;1;0.8;[ALLONSO, ALONSO];2;0;1;0.8
ALTAIR;ALTAIR,ALTAYR;[ALTAIR];1;0;1;0.666666666667;[ALTAIR];1;0;1;0.666666666667;[ALDAIR, ALDIR, ALTAIR, ALTAYR];2;2;0;0.666666666667;[AELTON, AERTON, AHILTON, AILTHON, AILTON, AIRTON, ALTAIR, ALTAYR, ARTHUR, ARTUR, ASTOR, ASTREIA, ATHOS, AUTA, AYLTON, AYRTON, ELTON, ERTON, ESTER, ESTHER, HAILTON, HEITOR, HELTON, HILTON, HUET, HYLTON, ILTOM, ILTON, ITO, OTTO, TAEL, THAIS, TITO, UOSTON];2;32;0;0.111111111111;[ALTAIR, ALTAYR];2;0;0;1.0;[ALTAIR, ALTAYR];2;0;0;1.0;[ALTAIR, ALTAYR];2;0;0;1.0
AMAURI;AMAURI,AMAURY;[AMAURI];1;0;1;0.666666666667;[AMAURI];1;0;1;0.666666666667;[AMARO, AMAURI, AMAURY, AMIR, ANAIR, ANAYR];2;4;0;0.5;[AGNELO, AMALIA, AMARAL, AMARO, AMAURI, AMAURY, AMELIA, AMERES, AMILAR, ANALIA, ANALICE, ANDERLEI, ANDRE, ANDRÉ, ANDREA, ANDREIA, EMILIA, EMILIO, ENILA, ENILCE, HENRY, HOMERO, HONORIO, IMERO, MAGNOLIA, MALY, MANOELA, MARA, MARI, MARIA, Maria, MARIE, MARILCE, MARILIA, MARIO, MARLE, MARLI, MARLLON, MARLON, MARLUCE, MARLY, MARY, MAURA, MAURI, MAURILIA, MAURILIO, MAURILLO, MAURILO, MAURO, MEIRES, MILCE, MILLER, MIRACI, MIRIAM, MIRIAN, MIRON, MURILO, NALY, NARA, NAURO, NELCI, NELCY, NELI, NELIA, NELIO, NELLE, NELLI, NELLY, NELOYR, NELY, NERY, NEYLA, NILA, NILCE, NILIA, NILO, NORELI, ONARIA, ONEILI, ONILHA];2;78;0;0.0487804878049;[AMAURI, AMAURY];2;0;0;1.0;[AMAURI, AMAURY];2;0;0;1.0;[AMAURI, AMAURY, MAURI];2;1;0;0.8
AMBROSIO;AMBROSIO,AMBROZIO;[AMBROSIO];1;0;1;0.666666666667;[AMBROSIO];1;0;1;0.666666666667;[AMBROSIO, AMBROZIO, ANFRISIO, ANIVERSO];2;2;0;0.666666666667;[AMBROSIO, AMBROZIO];2;0;0;1.0;[AMBROSIO, AMBROZIO];2;0;0;1.0;[AMBROSIO, AMBROZIO];2;0;0;1.0;[AMBROSIO, AMBROZIO];2;0;0;1.0
ANA;ANA,ANNA;[ANA, ANAIR];1;1;1;0.5;[ANA, ANAIR];1;1;1;0.5;[ANA, ANNA];2;0;0;1.0;[AGMAR, AMANDA, AMIL, AMIR, ANA, ANAEL, ANAIR, ANANIAS, ANAYR, ANDONIOS, ANNA, EMANOEL, EMANUEL, EMMANOEL, ENE, ENEAS, ENES, ENI, ENIO, ENIR, ENNIO, ENOI, ENOS, ENY, EUMENES, EUNICE, IGNES, IGNEZ, INES, INEZ, INIS, IOMAR, IONE, MAGNA, MAGNO, MAIL, MANOEL, MANUEL, MANY, MAX, NAHUR, NAIR, NAME, NANCE, NANCY, NEEMIAS, NEHEMIAS, NEI, NEIMAR, NENIS, NERCI, NERCY, NEY, NICE, NINIO, NOE, NOEL, NOEME, NOEMEA, NOEMI, NOEMIA, NOEMIO, NUNO, OMAR, ONAIR, ONDINA, ONIAS];2;65;0;0.0579710144928;[AGMAR, ANA, ANNA];2;1;0;0.8;[ANA, ANNA];2;0;0;1.0;[ANA, ANNA];2;0;0;1.0
ANGELICA;ANGELICA,ANGELIKA;[ANGELA, ANGELICA, ANGELO];1;2;1;0.4;[ANGELA, ANGELICA, ANGELO];1;2;1;0.4;[ANGELICA, ANGELIKA];2;0;0;1.0;[ANGELICA, ANGELIKA];2;0;0;1.0;[ANGELICA];1;0;1;0.666666666667;[ANGELICA, ANGELIKA];2;0;0;1.0;[ANGELICA, ANGELIKA];2;0;0;1.0
ANTONIETA;ANTONIETA,ANTONIETTA;[ANTONIETA];1;0;1;0.666666666667;[ANTONIETA];1;0;1;0.666666666667;[ANTONIETA, ANTONIETTA];2;0;0;1.0;[ANTONIETA, ANTONIETTA];2;0;0;1.0;[ANTONIETA, ANTONIETTA];2;0;0;1.0;[ANTONIETA];1;0;1;0.666666666667;[ANTONIETA, ANTONIETTA];2;0;0;1.0
ARILTO;ARILTON,ARILTO,ARYLTON;[ARILTO];1;0;2;0.5;[ARILTO];1;0;2;0.5;[ARILDO, ARILTO, ARLETE, ARLETH, ARLETTE, AROLDO];1;5;2;0.222222222222;[ALEILTON, ALERTON, ALILTON, ARILTO, ARILTON, ARIOSTO, ARISTEU, ARISTON, ARLETE, ARLETH, ARLETTE, ARYETHI, ARYLTON, AURITO, ELIETE, ELITA, ELITO, ELYETTE, ERASTO, ERLITO, HUELITON, LAERT, LAERTE, LAIRTON, LAURITA, LAURITO, LOESTER, ORESTE, ORESTES, RITA, ROLISTOM, RUTE, RUTH, RUTHE];3;31;0;0.162162162162;[ALILTON, ARILTO, ARILTON, ARISTON, ARYLTON];3;2;0;0.75;[ARILTO, ARLETE, ARLETH];1;2;2;0.333333333333;[ARILTO];1;0;2;0.5
ARLETE;ARLETE,ARLETH,ARLETTE;[ARLETE];1;0;2;0.5;[ARLETE];1;0;2;0.5;[ARILDO, ARILTO, ARLETE, ARLETH, ARLETTE, AROLDO];3;3;0;0.666666666667;[ALEILTON, ALERTON, ALILTON, ARILTO, ARILTON, ARIOSTO, ARISTEU, ARISTON, ARLETE, ARLETH, ARLETTE, ARYETHI, ARYLTON, AURITO, ELIETE, ELITA, ELITO, ELYETTE, ERASTO, ERLITO, HUELITON, LAERT, LAERTE, LAIRTON, LAURITA, LAURITO, LOESTER, ORESTE, ORESTES, RITA, ROLISTOM, RUTE, RUTH, RUTHE];3;31;0;0.162162162162;[ARLETE, ARLETTE];2;0;1;0.8;[ARILTO, ARLETE, ARLETH];2;1;1;0.666666666667;[ARLETE, ARLETTE];2;0;1;0.8
ARMEZINA;ARMEZINA,ARMEZINDA;[ARMEZINA];1;0;1;0.666666666667;[ARMEZINA];1;0;1;0.666666666667;[ARMEZINA];1;0;1;0.666666666667;[ARMEZINA, ARMEZINDA, ARMEZINDO, ORMECINDA];2;2;0;0.666666666667;[ARMEZINA, ARMEZINDA];2;0;0;1.0;[ARMEZINA];1;0;1;0.666666666667;[ARMEZINA];1;0;1;0.666666666667
ARNALDO;ARNALDO,ARNOLDO;[ARNALDO];1;0;1;0.666666666667;[ARNALDO];1;0;1;0.666666666667;[ARNALDO, ARNOLDO];2;0;0;1.0;[ARNALDO, ARNOLDO, ERENILDE, ERONILDE, HEREMILDO, LENILDA, LEONARDO, LEONILDA, REINALDO, RENILDE, REYNALDO, ROMILDA, ROMILDO, ROMUALDO, RONALD, RONALDO, RONILDO];2;15;0;0.210526315789;[ARNALDO];1;0;1;0.666666666667;[ARNALDO, ARNOLDO];2;0;0;1.0;[ARNALDO, ARNOLDO, REINALDO, REYNALDO, RONALDO, RONILDO];2;4;0;0.5
AROLDO;AROLDO,HAROLDO;[AROLDO];1;0;1;0.666666666667;[AROLDO];1;0;1;0.666666666667;[ARILDO, ARILTO, ARLETE, ARLETH, ARLETTE, AROLDO];1;5;1;0.25;[AILDO, ALADIM, ALADIO, ALAIDE, ALAIDES, ALAIDO, ALDA, ALDAIR, ALDECI, ALDIR, ALDO, ALEIDE, ARIDES, ARILDES, ARILDO, AROLDO, ELADIO, ELADIR, ELDA, ELDER, ELIDA, ELIDIO, ELIDO, ELILDE, ELOIDES, ERALDO, ERILDO, EURIDES, EURYDICE, HAROLDO, HELDER, HELIDA, HERALDO, HERILDO, HILDA, HILDO, HILDON, ILDA, ILDEU, ILIDIA, LAIDE, LAURIDES, LEDA, LEDIR, LEIDA, LIDIA, LIDIO, LOURDES, LUIDE, ORALDO, ORIDES, ORILDO, RILDO, RIORDAM, ROLDAO];2;53;0;0.0701754385965;[AROLDO, HAROLDO];2;0;0;1.0;[ARILDO, AROLDO];1;1;1;0.5;[AROLDO];1;0;1;0.666666666667
BATISTA;BAPTISTA;[];0;0;1;0.0;[];0;0;1;0.0;[];0;0;1;0.0;[BEATRIZ, BERTA, BERTHA, BETH, BRITES, HEBERT];0;6;1;0.0;[];0;0;1;0.0;[];0;0;1;0.0;[];0;0;1;0.0
BENEDITO;BENEDITO,BENEDICTO,BENEDETTO;[BENEDITA, BENEDITO];1;1;2;0.4;[BENEDITA, BENEDITO];1;1;2;0.4;[BENEDETTO, BENEDITA, BENEDITO, BENITO, BENTO];2;3;1;0.5;[BENEDETTO, BENEDICTO, BENEDITA, BENEDITO];3;1;0;0.857142857143;[BENEDICTO, BENEDITO];2;0;1;0.8;[BENEDICTO, BENEDITA, BENEDITO];2;1;1;0.666666666667;[BENEDETTO, BENEDITO];2;0;1;0.8
BERNADETE;BERNARDETH,BERNARDET,BERNARDETE;[BERNADETE];0;1;3;0.0;[BERNADETE];0;1;3;0.0;[BERNADETE, BERNADO];0;2;3;0.0;[BERNADETE];0;1;3;0.0;[BERNADETE];0;1;3;0.0;[BERNADETE];0;1;3;0.0;[BERNADETE];0;1;3;0.0
BEZALEEL;BEZALEEL,BEZALIEL;[BEZALEEL];1;0;1;0.666666666667;[BEZALEEL];1;0;1;0.666666666667;[BASILIO, BEZALEEL, BEZALIEL];2;1;0;0.8;[BASILIO, BEZALEEL, BEZALIEL];2;1;0;0.8;[BEZALEEL];1;0;1;0.666666666667;[BEZALEEL, BEZALIEL];2;0;0;1.0;[BEZALEEL];1;0;1;0.666666666667
KARINE;KARINA,KARINE,CARINI;[KARINA, KARINE];2;0;1;0.8;[KARINA, KARINE];2;0;1;0.8;[KAREN, KARINA, KARINE];2;1;1;0.666666666667;[AQUILINO, CARINI, CARINO, CARLINDO, CAROLINA, CAROLINO, CLARINDA, CLARINDO, CLEMAR, CLEMIR, CLEOMAR, CLEOMENES, CLEONICE, COLINA, COLMAR, CORINA, KARINA, KARINE, OCARLINA];3;16;0;0.272727272727;[KARINE];1;0;2;0.5;[CARINI, CARINO, CORINA, KARINA, KARINE];3;2;0;0.75;[CARINI, CARINO, KARINA, KARINE];3;1;0;0.857142857143
CARLOS;CARLOS,CARLLO;[CARLINDO, CARLOS];1;1;1;0.5;[CARLINDO, CARLOS];1;1;1;0.5;[CARLOS, CARLUCY, CHARLES];1;2;1;0.4;[AQUILA, CARLLO, CARLOS, CARLUCY, CLARICE, CLEA, CLEIR, CLELIA, CLERIA, CLERIO, CLORIS, CORA, ICLEA, KAREN, KEILA, KELLY, KEYLA];2;15;0;0.210526315789;[CARLLO, CARLOS];2;0;0;1.0;[CARLOS, CARLUCY];1;1;1;0.5;[CARLOS];1;0;1;0.666666666667
CARMELINA;CARMELINA,CARMELINDA;[CARMELINA];1;0;1;0.666666666667;[CARMELINA];1;0;1;0.666666666667;[CARMELINA];1;0;1;0.666666666667;[CARMELINA, CARMELINDA, CARMORINDA];2;1;0;0.8;[CARMELINA, CARMELINDA];2;0;0;1.0;[CARMELINA];1;0;1;0.666666666667;[CARMELINA];1;0;1;0.666666666667
CARMEM;CARMEM,CARMEN;[CARMEM, CARMO];1;1;1;0.5;[CARMEM, CARMO];1;1;1;0.5;[CARINI, CARINO, CARMEM, CARMEN, CARMO, CIRANO, CORINA];2;5;0;0.444444444444;[CARMEM, CARMEN, CARMO, CASSIANA, CASSIANO, CORSINI, COSME, COSMO];2;6;0;0.4;[CARMEM, CARMEN, COSME];2;1;0;0.8;[CARMEM, CARMEN];2;0;0;1.0;[CARMEM];1;0;1;0.666666666667
CARMOZINA;CARMOZINA,CARMOZITA;[CARMOZINA];1;0;1;0.666666666667;[CARMOZINA];1;0;1;0.666666666667;[CARMOZINA];1;0;1;0.666666666667;[CARMOZINA];1;0;1;0.666666666667;[CARMOZINA];1;0;1;0.666666666667;[CARMOZINA];1;0;1;0.666666666667;[CARMOZINA];1;0;1;0.666666666667
CATARINA;CATARINA,CATHARINA;[CATARINA];1;0;1;0.666666666667;[CATARINA];1;0;1;0.666666666667;[CATARINA, CATHARINA];2;0;0;1.0;[CASTURINA, CATARINA, CATELINO, CATHARINA];2;2;0;0.666666666667;[CATARINA, CATHARINA];2;0;0;1.0;[CATARINA, CATHARINA];2;0;0;1.0;[CATARINA];1;0;1;0.666666666667
CESAR;CESAR,CEZAR;[CESAR];1;0;1;0.666666666667;[CESAR];1;0;1;0.666666666667;[CESAR, CESARIO, CEZAR, CICERA, CICERO];2;3;0;0.571428571429;[ACIR, AECIO, ASSIS, AZIS, AZIZ, AZIZA, CECY, CERSON, CESAR, CEZAR, ECIO, EUZI, EZIO, IACYN, ISA, ISAIAS, ISE, IZA, IZAIAS, IZO, OSEAS, OSEIAS, OZAIAS, OZEAS, OZIAS, SAUL, XERXES, YASUO, ZIEL, ZIZO];2;28;0;0.125;[CESAR, CEZAR];2;0;0;1.0;[CESAR, CEZAR];2;0;0;1.0;[CESAR, CEZAR];2;0;0;1.0
CHRISTIAN;CHRISTIAN,CRISTIAN;[CHRISTIAN];1;0;1;0.666666666667;[CHRISTIAN];1;0;1;0.666666666667;[CHRISTIAN, CHRISTIANNO, CRISTHINE, CRISTIAN, CRISTIANE, CRISTIANO, CRISTINA];2;5;0;0.444444444444;[CELESTE, CELITA, CELUTA, CHRISTIAN, SELUTA, ZELITA, ZORITA];1;6;1;0.222222222222;[CHRISTIAN];1;0;1;0.666666666667;[CHRISTIAN];1;0;1;0.666666666667;[CHRISTIAN];1;0;1;0.666666666667
